Student ID,grade,school_name,reading_score,math_score
292,10th,Huang High School,91,69
293,9th,Huang High School,81,72
294,11th,Huang High School,67,87
295,9th,Huang High School,92,73
296,11th,Huang High School,72,81
297,11th,Huang High School,75,78
298,10th,Huang High School,64,63
299,11th,Huang High School,96,94
300,12th,Huang High School,89,98
301,12th,Huang High School,92,61
302,12th,Huang High School,74,97
303,12th,Huang High School,68,55
304,9th,Huang High School,91,89
305,9th,Huang High School,99,94
306,9th,Huang High School,95,95
307,11th,Huang High School,68,59
308,11th,Huang High School,98,57
309,11th,Huang High School,77,66
310,10th,Huang High School,64,95
311,12th,Huang High School,85,82
312,11th,Huang High School,81,91
313,11th,Huang High School,86,63
314,9th,Huang High School,92,66
315,10th,Huang High School,67,84
316,12th,Huang High School,68,87
317,10th,Huang High School,77,79
318,11th,Huang High School,72,72
319,9th,Huang High School,74,59
320,12th,Huang High School,91,94
321,10th,Huang High School,84,66
322,9th,Huang High School,98,90
323,9th,Huang High School,91,60
324,9th,Huang High School,89,87
325,11th,Huang High School,96,94
326,9th,Huang High School,66,81
327,12th,Huang High School,78,85
328,9th,Huang High School,76,57
329,9th,Huang High School,77,97
330,9th,Huang High School,73,77
331,11th,Huang High School,93,66
332,11th,Huang High School,98,66
333,9th,Huang High School,76,90
334,11th,Huang High School,85,86
335,12th,Huang High School,93,93
336,11th,Huang High School,64,91
337,10th,Huang High School,77,70
338,9th,Huang High School,98,76
339,11th,Huang High School,66,81
340,11th,Huang High School,78,77
341,11th,Huang High School,72,58
342,11th,Huang High School,90,91
343,9th,Huang High School,90,87
344,11th,Huang High School,99,78
345,10th,Huang High School,69,80
346,9th,Huang High School,80,94
347,9th,Huang High School,66,91
348,12th,Huang High School,70,92
349,11th,Huang High School,89,63
350,11th,Huang High School,78,98
351,10th,Huang High School,65,68
352,10th,Huang High School,98,69
353,10th,Huang High School,73,56
354,12th,Huang High School,89,60
355,10th,Huang High School,85,91
356,11th,Huang High School,92,97
357,10th,Huang High School,83,62
358,12th,Huang High School,82,75
359,9th,Huang High School,94,62
360,9th,Huang High School,79,61
361,12th,Huang High School,85,66
362,12th,Huang High School,65,56
363,11th,Huang High School,79,72
364,11th,Huang High School,88,56
365,9th,Huang High School,93,58
366,12th,Huang High School,91,58
367,11th,Huang High School,78,61
368,9th,Huang High School,78,78
369,9th,Huang High School,69,82
370,11th,Huang High School,84,95
371,10th,Huang High School,68,55
372,12th,Huang High School,95,92
373,10th,Huang High School,65,97
374,12th,Huang High School,75,97
375,10th,Huang High School,68,98
376,10th,Huang High School,71,74
377,9th,Huang High School,84,57
378,10th,Huang High School,97,63
379,11th,Huang High School,96,68
380,9th,Huang High School,75,75
381,9th,Huang High School,66,95
382,11th,Huang High School,87,70
383,11th,Huang High School,70,65
384,11th,Huang High School,84,55
385,10th,Huang High School,98,77
386,9th,Huang High School,69,57
387,12th,Huang High School,70,85
388,9th,Huang High School,90,88
389,9th,Huang High School,85,72
390,9th,Huang High School,81,88
391,11th,Huang High School,86,83
392,10th,Huang High School,99,90
393,9th,Huang High School,65,71
394,9th,Huang High School,97,55
395,9th,Huang High School,91,62
396,12th,Huang High School,75,82
397,11th,Huang High School,78,72
398,12th,Huang High School,77,56
399,12th,Huang High School,72,69
400,11th,Huang High School,93,65
401,12th,Huang High School,63,91
402,12th,Huang High School,94,66
403,11th,Huang High School,67,59
404,11th,Huang High School,88,97
405,11th,Huang High School,92,93
406,11th,Huang High School,63,63
407,11th,Huang High School,71,56
408,10th,Huang High School,99,80
409,11th,Huang High School,68,76
410,9th,Huang High School,74,82
411,9th,Huang High School,93,98
412,11th,Huang High School,69,94
413,12th,Huang High School,86,72
414,10th,Huang High School,93,82
415,9th,Huang High School,88,99
416,9th,Huang High School,86,80
417,11th,Huang High School,97,84
418,11th,Huang High School,84,58
419,9th,Huang High School,84,64
420,9th,Huang High School,81,74
421,9th,Huang High School,67,79
422,10th,Huang High School,85,81
423,12th,Huang High School,65,58
424,9th,Huang High School,63,81
425,10th,Huang High School,91,59
426,12th,Huang High School,75,68
427,12th,Huang High School,74,68
428,10th,Huang High School,77,70
429,10th,Huang High School,69,98
430,12th,Huang High School,69,95
431,9th,Huang High School,78,57
432,10th,Huang High School,77,87
433,12th,Huang High School,65,92
434,12th,Huang High School,68,67
435,9th,Huang High School,76,75
436,11th,Huang High School,92,72
437,11th,Huang High School,90,59
438,10th,Huang High School,75,78
439,9th,Huang High School,73,72
440,11th,Huang High School,83,56
441,12th,Huang High School,86,61
442,10th,Huang High School,97,61
443,9th,Huang High School,70,57
444,12th,Huang High School,67,66
445,10th,Huang High School,63,65
446,9th,Huang High School,85,79
447,10th,Huang High School,69,92
448,9th,Huang High School,77,71
449,11th,Huang High School,96,60
450,11th,Huang High School,64,84
451,11th,Huang High School,81,59
452,10th,Huang High School,88,60
453,10th,Huang High School,94,58
454,9th,Huang High School,83,95
455,9th,Huang High School,83,61
456,11th,Huang High School,89,83
457,12th,Huang High School,94,63
458,11th,Huang High School,84,68
459,9th,Huang High School,92,68
460,12th,Huang High School,67,63
461,9th,Huang High School,92,92
462,10th,Huang High School,93,77
463,12th,Huang High School,88,77
464,10th,Huang High School,98,79
465,9th,Huang High School,81,89
466,11th,Huang High School,86,92
467,10th,Huang High School,81,61
468,12th,Huang High School,63,92
469,9th,Huang High School,99,94
470,9th,Huang High School,67,62
471,10th,Huang High School,95,74
472,9th,Huang High School,82,64
473,9th,Huang High School,64,58
474,9th,Huang High School,89,95
475,11th,Huang High School,82,58
476,10th,Huang High School,72,89
477,10th,Huang High School,79,75
478,10th,Huang High School,90,61
479,10th,Huang High School,92,73
480,9th,Huang High School,69,96
481,11th,Huang High School,97,86
482,10th,Huang High School,65,56
483,9th,Huang High School,68,89
484,11th,Huang High School,67,99
485,11th,Huang High School,73,96
486,9th,Huang High School,86,81
487,10th,Huang High School,83,67
488,12th,Huang High School,67,81
489,9th,Huang High School,88,65
490,9th,Huang High School,92,66
491,10th,Huang High School,95,78
492,10th,Huang High School,71,79
493,10th,Huang High School,95,79
494,10th,Huang High School,74,65
495,12th,Huang High School,99,71
496,9th,Huang High School,70,72
497,9th,Huang High School,74,98
498,11th,Huang High School,73,80
499,10th,Huang High School,97,79
500,10th,Huang High School,86,90
501,9th,Huang High School,64,70
502,10th,Huang High School,71,89
503,11th,Huang High School,78,84
504,11th,Huang High School,93,94
505,10th,Huang High School,96,78
506,10th,Huang High School,85,74
507,12th,Huang High School,72,89
508,10th,Huang High School,63,84
509,9th,Huang High School,90,90
510,10th,Huang High School,76,58
511,9th,Huang High School,96,97
512,11th,Huang High School,81,58
513,10th,Huang High School,89,70
514,10th,Huang High School,93,66
515,10th,Huang High School,80,74
516,12th,Huang High School,89,61
517,9th,Huang High School,84,78
518,9th,Huang High School,97,84
519,12th,Huang High School,90,69
520,10th,Huang High School,88,72
521,11th,Huang High School,82,76
522,11th,Huang High School,96,94
523,11th,Huang High School,72,87
524,10th,Huang High School,76,92
525,11th,Huang High School,93,91
526,10th,Huang High School,89,85
527,11th,Huang High School,79,68
528,10th,Huang High School,68,88
529,10th,Huang High School,63,90
530,10th,Huang High School,89,94
531,9th,Huang High School,72,79
532,10th,Huang High School,93,93
533,11th,Huang High School,66,72
534,12th,Huang High School,64,63
535,11th,Huang High School,81,56
536,9th,Huang High School,99,83
537,11th,Huang High School,63,69
538,10th,Huang High School,96,63
539,9th,Huang High School,90,81
540,10th,Huang High School,95,98
541,10th,Huang High School,76,98
542,9th,Huang High School,86,69
543,9th,Huang High School,80,94
544,9th,Huang High School,72,65
545,12th,Huang High School,63,78
546,12th,Huang High School,86,80
547,9th,Huang High School,74,95
548,9th,Huang High School,64,85
549,9th,Huang High School,97,94
550,12th,Huang High School,96,86
551,11th,Huang High School,73,95
552,10th,Huang High School,73,87
553,10th,Huang High School,72,58
554,12th,Huang High School,67,55
555,9th,Huang High School,64,55
556,9th,Huang High School,88,82
557,10th,Huang High School,92,60
558,9th,Huang High School,96,77
559,12th,Huang High School,73,60
560,10th,Huang High School,79,65
561,11th,Huang High School,84,91
562,10th,Huang High School,96,88
563,12th,Huang High School,74,68
564,10th,Huang High School,94,92
565,10th,Huang High School,79,70
566,12th,Huang High School,77,79
567,11th,Huang High School,91,87
568,12th,Huang High School,81,74
569,9th,Huang High School,76,66
570,11th,Huang High School,89,69
571,12th,Huang High School,77,56
572,9th,Huang High School,77,56
573,10th,Huang High School,91,73
574,10th,Huang High School,93,96
575,10th,Huang High School,72,87
576,9th,Huang High School,91,90
577,10th,Huang High School,79,62
578,11th,Huang High School,85,86
579,10th,Huang High School,71,78
580,11th,Huang High School,80,89
581,9th,Huang High School,83,83
582,9th,Huang High School,72,94
583,11th,Huang High School,77,81
584,9th,Huang High School,85,73
585,12th,Huang High School,73,73
586,11th,Huang High School,96,76
587,11th,Huang High School,78,97
588,11th,Huang High School,90,74
589,11th,Huang High School,83,66
590,10th,Huang High School,92,75
591,9th,Huang High School,93,68
592,9th,Huang High School,73,86
593,9th,Huang High School,63,93
594,11th,Huang High School,79,87
595,11th,Huang High School,93,56
596,12th,Huang High School,69,92
597,10th,Huang High School,85,90
598,9th,Huang High School,77,81
599,9th,Huang High School,77,59
600,11th,Huang High School,91,72
601,12th,Huang High School,74,74
602,12th,Huang High School,69,81
603,11th,Huang High School,75,61
604,9th,Huang High School,91,85
605,10th,Huang High School,96,80
606,12th,Huang High School,78,96
607,11th,Huang High School,82,57
608,9th,Huang High School,65,60
609,10th,Huang High School,70,71
610,11th,Huang High School,78,92
611,10th,Huang High School,71,85
612,10th,Huang High School,86,95
613,9th,Huang High School,96,72
614,9th,Huang High School,82,67
615,12th,Huang High School,72,85
616,10th,Huang High School,94,71
617,11th,Huang High School,82,72
618,9th,Huang High School,75,76
619,9th,Huang High School,87,75
620,9th,Huang High School,72,93
621,12th,Huang High School,79,96
622,10th,Huang High School,70,68
623,11th,Huang High School,68,91
624,9th,Huang High School,90,97
625,12th,Huang High School,78,79
626,11th,Huang High School,63,78
627,11th,Huang High School,82,78
628,12th,Huang High School,96,82
629,11th,Huang High School,75,66
630,12th,Huang High School,63,93
631,12th,Huang High School,73,57
632,10th,Huang High School,79,62
633,9th,Huang High School,82,80
634,10th,Huang High School,86,72
635,11th,Huang High School,76,58
636,9th,Huang High School,86,84
637,12th,Huang High School,95,88
638,9th,Huang High School,93,74
639,11th,Huang High School,87,61
640,9th,Huang High School,92,75
641,10th,Huang High School,88,73
642,9th,Huang High School,65,71
643,12th,Huang High School,91,84
644,11th,Huang High School,81,61
645,10th,Huang High School,72,98
646,9th,Huang High School,87,93
647,9th,Huang High School,70,98
648,11th,Huang High School,73,86
649,9th,Huang High School,87,55
650,9th,Huang High School,65,57
651,11th,Huang High School,73,97
652,10th,Huang High School,88,66
653,10th,Huang High School,65,70
654,11th,Huang High School,72,96
655,11th,Huang High School,92,94
656,10th,Huang High School,94,87
657,9th,Huang High School,74,68
658,12th,Huang High School,66,71
659,10th,Huang High School,93,55
660,9th,Huang High School,95,81
661,11th,Huang High School,92,97
662,12th,Huang High School,90,76
663,10th,Huang High School,84,58
664,10th,Huang High School,81,67
665,11th,Huang High School,86,97
666,10th,Huang High School,97,81
667,11th,Huang High School,69,91
668,11th,Huang High School,75,89
669,11th,Huang High School,90,55
670,10th,Huang High School,94,83
671,10th,Huang High School,92,59
672,11th,Huang High School,81,80
673,10th,Huang High School,76,64
674,10th,Huang High School,87,98
675,11th,Huang High School,98,78
676,9th,Huang High School,86,80
677,11th,Huang High School,75,99
678,10th,Huang High School,74,77
679,11th,Huang High School,95,98
680,9th,Huang High School,76,93
681,9th,Huang High School,98,85
682,12th,Huang High School,77,73
683,9th,Huang High School,72,88
684,10th,Huang High School,81,78
685,11th,Huang High School,69,77
686,10th,Huang High School,74,67
687,10th,Huang High School,84,92
688,9th,Huang High School,82,61
689,12th,Huang High School,76,68
690,9th,Huang High School,75,68
691,9th,Huang High School,71,94
692,12th,Huang High School,88,87
693,12th,Huang High School,75,90
694,9th,Huang High School,98,73
695,10th,Huang High School,93,95
696,10th,Huang High School,77,90
697,11th,Huang High School,67,57
698,9th,Huang High School,89,86
699,11th,Huang High School,95,95
700,11th,Huang High School,83,99
701,12th,Huang High School,94,63
702,9th,Huang High School,84,65
703,12th,Huang High School,87,64
704,10th,Huang High School,93,87
705,11th,Huang High School,80,99
706,11th,Huang High School,81,84
707,10th,Huang High School,72,99
708,11th,Huang High School,64,69
709,9th,Huang High School,92,95
710,9th,Huang High School,96,56
711,9th,Huang High School,89,85
712,9th,Huang High School,63,58
713,9th,Huang High School,69,73
714,10th,Huang High School,83,74
715,9th,Huang High School,63,71
716,10th,Huang High School,97,57
717,10th,Huang High School,85,83
718,10th,Huang High School,97,76
719,11th,Huang High School,70,56
720,11th,Huang High School,96,96
721,10th,Huang High School,72,73
722,9th,Huang High School,93,59
723,11th,Huang High School,82,58
724,11th,Huang High School,73,64
725,9th,Huang High School,84,63
726,9th,Huang High School,78,99
727,9th,Huang High School,95,83
728,10th,Huang High School,80,57
729,12th,Huang High School,84,62
730,9th,Huang High School,79,67
731,11th,Huang High School,98,79
732,11th,Huang High School,79,60
733,11th,Huang High School,93,92
734,12th,Huang High School,92,93
735,9th,Huang High School,72,91
736,11th,Huang High School,92,78
737,9th,Huang High School,78,58
738,10th,Huang High School,71,61
739,12th,Huang High School,92,79
740,10th,Huang High School,63,88
741,12th,Huang High School,96,94
742,9th,Huang High School,70,55
743,9th,Huang High School,92,96
744,12th,Huang High School,88,90
745,10th,Huang High School,66,91
746,10th,Huang High School,92,92
747,11th,Huang High School,69,75
748,9th,Huang High School,70,86
749,12th,Huang High School,81,80
750,9th,Huang High School,77,56
751,10th,Huang High School,99,55
752,12th,Huang High School,63,95
753,11th,Huang High School,66,97
754,10th,Huang High School,69,55
755,12th,Huang High School,69,68
756,10th,Huang High School,74,55
757,9th,Huang High School,88,61
758,10th,Huang High School,86,72
759,9th,Huang High School,84,81
760,12th,Huang High School,74,80
761,10th,Huang High School,98,83
762,12th,Huang High School,87,71
763,9th,Huang High School,79,73
764,10th,Huang High School,80,83
765,10th,Huang High School,98,60
766,11th,Huang High School,93,96
767,11th,Huang High School,78,81
768,11th,Huang High School,81,61
769,10th,Huang High School,83,60
770,12th,Huang High School,99,90
771,10th,Huang High School,66,91
772,10th,Huang High School,96,60
773,12th,Huang High School,66,81
774,10th,Huang High School,76,79
775,10th,Huang High School,76,82
776,10th,Huang High School,85,65
777,10th,Huang High School,64,65
778,10th,Huang High School,98,90
779,9th,Huang High School,90,77
780,10th,Huang High School,75,65
781,9th,Huang High School,84,94
782,10th,Huang High School,91,55
783,11th,Huang High School,96,98
784,9th,Huang High School,98,87
785,12th,Huang High School,85,69
786,9th,Huang High School,88,93
787,12th,Huang High School,82,72
788,9th,Huang High School,82,63
789,10th,Huang High School,94,74
790,11th,Huang High School,99,60
791,12th,Huang High School,88,70
792,10th,Huang High School,99,89
793,12th,Huang High School,94,65
794,10th,Huang High School,68,69
795,11th,Huang High School,93,66
796,10th,Huang High School,83,67
797,11th,Huang High School,75,93
798,12th,Huang High School,85,56
799,9th,Huang High School,91,67
800,10th,Huang High School,74,92
801,11th,Huang High School,98,66
802,12th,Huang High School,75,62
803,12th,Huang High School,86,62
804,9th,Huang High School,85,59
805,11th,Huang High School,94,65
806,9th,Huang High School,93,84
807,12th,Huang High School,84,68
808,12th,Huang High School,78,99
809,10th,Huang High School,75,62
810,9th,Huang High School,76,92
811,9th,Huang High School,86,89
812,10th,Huang High School,73,70
813,12th,Huang High School,65,94
814,11th,Huang High School,89,85
815,11th,Huang High School,83,66
816,9th,Huang High School,94,81
817,10th,Huang High School,67,58
818,9th,Huang High School,76,97
819,9th,Huang High School,91,84
820,11th,Huang High School,66,57
821,9th,Huang High School,67,74
822,10th,Huang High School,84,92
823,11th,Huang High School,67,87
824,11th,Huang High School,83,76
825,10th,Huang High School,79,93
826,9th,Huang High School,83,85
827,12th,Huang High School,83,73
828,9th,Huang High School,86,78
829,9th,Huang High School,97,93
830,12th,Huang High School,97,77
831,11th,Huang High School,67,68
832,9th,Huang High School,96,96
833,10th,Huang High School,74,55
834,11th,Huang High School,69,92
835,11th,Huang High School,97,58
836,12th,Huang High School,67,89
837,12th,Huang High School,69,75
838,10th,Huang High School,91,99
839,12th,Huang High School,85,62
840,9th,Huang High School,71,79
841,9th,Huang High School,77,94
842,10th,Huang High School,77,87
843,10th,Huang High School,69,83
844,11th,Huang High School,87,56
845,10th,Huang High School,98,94
846,12th,Huang High School,73,69
847,9th,Huang High School,95,61
848,9th,Huang High School,68,74
849,10th,Huang High School,73,93
850,12th,Huang High School,87,64
851,9th,Huang High School,72,63
852,9th,Huang High School,85,70
853,11th,Huang High School,95,55
854,12th,Huang High School,90,84
855,9th,Huang High School,73,67
856,11th,Huang High School,78,62
857,12th,Huang High School,67,90
858,11th,Huang High School,95,81
859,10th,Huang High School,68,94
860,9th,Huang High School,72,64
861,11th,Huang High School,86,55
862,10th,Huang High School,73,69
863,11th,Huang High School,82,74
864,10th,Huang High School,76,93
865,12th,Huang High School,99,76
866,11th,Huang High School,85,96
867,12th,Huang High School,63,84
868,12th,Huang High School,82,80
869,11th,Huang High School,90,69
870,11th,Huang High School,65,92
871,9th,Huang High School,72,98
872,10th,Huang High School,99,85
873,10th,Huang High School,71,65
874,11th,Huang High School,97,59
875,10th,Huang High School,64,60
876,9th,Huang High School,71,99
877,10th,Huang High School,78,92
878,11th,Huang High School,87,90
879,11th,Huang High School,67,74
880,9th,Huang High School,90,96
881,12th,Huang High School,82,55
882,10th,Huang High School,84,77
883,11th,Huang High School,63,71
884,10th,Huang High School,78,89
885,10th,Huang High School,82,62
886,9th,Huang High School,87,63
887,12th,Huang High School,70,85
888,10th,Huang High School,87,56
889,9th,Huang High School,68,83
890,10th,Huang High School,74,90
891,9th,Huang High School,87,80
892,11th,Huang High School,87,66
893,12th,Huang High School,77,74
894,11th,Huang High School,66,88
895,11th,Huang High School,81,71
896,9th,Huang High School,85,55
897,9th,Huang High School,63,89
898,9th,Huang High School,86,97
899,9th,Huang High School,83,70
900,10th,Huang High School,83,83
901,10th,Huang High School,92,74
902,12th,Huang High School,83,88
903,9th,Huang High School,87,84
904,9th,Huang High School,83,67
905,11th,Huang High School,87,68
906,9th,Huang High School,65,80
907,12th,Huang High School,90,84
908,12th,Huang High School,67,92
909,11th,Huang High School,67,79
910,9th,Huang High School,93,58
911,12th,Huang High School,82,92
912,10th,Huang High School,63,66
913,12th,Huang High School,82,92
914,12th,Huang High School,70,67
915,9th,Huang High School,83,77
916,12th,Huang High School,72,55
917,12th,Huang High School,98,80
918,10th,Huang High School,69,55
919,12th,Huang High School,88,98
920,11th,Huang High School,99,70
921,12th,Huang High School,88,94
922,9th,Huang High School,85,56
923,10th,Huang High School,85,97
924,10th,Huang High School,73,62
925,9th,Huang High School,94,66
926,10th,Huang High School,98,87
927,9th,Huang High School,95,62
928,9th,Huang High School,98,90
929,9th,Huang High School,76,63
